project,source_commit,catalog_base_date,catalog_base_method,catalog_candidate_score,benchmark_seat,catalog_admission,recorded_expected_unique,recorded_known_real_unique,recorded_total,observation_rows,recorded_expected_observations,recorded_expected_asan_observations,recorded_expected_crash_observations,recorded_expected_total_observations,summary_expected_signature_count,aggregation_method,aggregation_route_count,aggregation_expected_checked,aggregation_expected_matched,metadata_path
PcapPlusPlus,65974d73c33aaede1bf3c18a353ea2209d1912a0,2023-08-02,measured_sweep,8,in_set,admitted,18,0,18,20,18,18,0,18,18,prefix_mod_4,4,18,18,data/measure/manual/PcapPlusPlus/65974d73c33aaede1bf3c18a353ea2209d1912a0.json
arrow,8b09ecc5c690dd270dea83490f292c2e00eef75b,2020-01-16,wave_eve,23,in_set,admitted,7,1,8,27,6,6,1,7,7,prefix_mod_3,3,7,7,data/measure/manual/arrow/8b09ecc5c690dd270dea83490f292c2e00eef75b.json
assimp,d34cd103f477fba496f09e3daf49d3ce671eb21a,2021-09-09,measured_sweep,25,in_set,admitted,26,0,26,40,26,26,0,26,26,identity_single_source,1,26,26,data/measure/manual/assimp/d34cd103f477fba496f09e3daf49d3ce671eb21a.json
binutils-gdb,7a53275579e7cec9389ccb924f5ecf69e8d89d41,2021-11-18,wave_eve,31,not_selected,pending_manual_review,10,0,10,78,10,10,0,10,10,none,0,,,data/measure/manual/binutils-gdb/7a53275579e7cec9389ccb924f5ecf69e8d89d41.json
c-blosc2,0e8bdfce66ba4b2fef79a2525fd83ecfc22b0983,2021-01-18,wave_eve,27,not_selected,pending_manual_review,2,0,2,37,2,2,0,2,2,none,0,,,data/measure/manual/c-blosc2/0e8bdfce66ba4b2fef79a2525fd83ecfc22b0983.json
espeak-ng,ccb1c31ba3cfa785d27c5974f3be65df2967e7a0,2021-11-07,measured_sweep,11,in_set,admitted,10,0,10,12,10,10,0,10,11,identity_single_source,1,11,10,data/measure/manual/espeak-ng/ccb1c31ba3cfa785d27c5974f3be65df2967e7a0.json
fluent-bit,e5289e606c4b55b0fac29046c8343958248189e7,2020-11-05,wave_eve,23,in_set,admitted,12,0,12,34,12,12,0,12,12,prefix_mod_6,6,12,12,data/measure/manual/fluent-bit/e5289e606c4b55b0fac29046c8343958248189e7.json
ghostpdl,991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50,2021-12-14,wave_eve,74,in_set,admitted,34,1,35,90,34,34,0,34,34,identity_single_source,1,34,34,data/measure/manual/ghostpdl/991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50.json
gpac,b890f1c443dbe1f941cd326d4473ce7ddef8e256,2024-01-17,wave_eve,42,in_set,admitted,27,0,27,49,29,29,0,29,29,prefix_mod_3,3,29,29,data/measure/manual/gpac/b890f1c443dbe1f941cd326d4473ce7ddef8e256.json
harfbuzz,a26806801005c28115ae9e48bdcf3bbbc1bcd767,2018-08-26,wave_eve,29,not_selected,pending_manual_review,3,0,3,54,3,3,0,3,3,none,0,,,data/measure/manual/harfbuzz/a26806801005c28115ae9e48bdcf3bbbc1bcd767.json
hdf5,bd7616cf98ae52e77f710a16fb4d334be3cb5ce9,2023-04-26,measured_sweep,12,in_set,admitted,12,0,12,14,12,12,0,12,12,prefix_mod_2,2,12,12,data/measure/manual/hdf5/bd7616cf98ae52e77f710a16fb4d334be3cb5ce9.json
