locator,project,layer,association_key,member_oss_ids,member_count,original_harnesses,final_routes,type_hint,catalog_cwes,any_original_poc,any_aggregated_poc,any_original_log,any_aggregated_log,identity_status,verified_memory_bug
ghostpdl:expected:001,ghostpdl,catalog_associated,global-buffer-overflow|READ|pdfi_dict_get|pdf_dict.c,42506595,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:002,ghostpdl,catalog_associated,global-buffer-overflow|READ|ps_font_def_func|pdf_fontps.c,42506214,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:003,ghostpdl,catalog_associated,global-buffer-overflow|READ|search_table_1|pdf_int.c,42505828,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:004,ghostpdl,catalog_associated,heap-buffer-overflow|READ|chunk_obj_alloc|gsmchunk.c,42505928,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:005,ghostpdl,catalog_associated,heap-buffer-overflow|READ|mem_mono_copy_mono|gdevm1.c,42507334,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:006,ghostpdl,catalog_associated,heap-buffer-overflow|READ|pdfi_deref_compressed|pdf_deref.c,42505896,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:007,ghostpdl,catalog_associated,heap-buffer-overflow|READ|pdfi_fapi_get_word|pdf_fapi.c,42505891,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:008,ghostpdl,catalog_associated,heap-buffer-overflow|READ|pdfi_pscript_interpret|pdf_fontps.c,42508046,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:009,ghostpdl,catalog_associated,heap-buffer-overflow|READ|pdfi_read_cff_dict|pdf_font1C.c,42514528,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:010,ghostpdl,catalog_associated,heap-buffer-overflow|READ|read_xref_section|pdf_xref.c,42506694,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:011,ghostpdl,catalog_associated,heap-buffer-overflow|READ|read_xref_stream_entries|pdf_xref.c,42508039,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:012,ghostpdl,catalog_associated,heap-buffer-overflow|READ|s_PFBD_process|sfilter1.c,42511259,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:013,ghostpdl,catalog_associated,heap-buffer-overflow|READ|stream_compact|stream.c,42508918,1,gstoraster_fuzzer,0,A,CWE-125,True,True,True,True,pending,False
ghostpdl:expected:014,ghostpdl,catalog_associated,heap-buffer-overflow|WRITE|insert_free|gsmchunk.c,42506155,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:015,ghostpdl,catalog_associated,heap-buffer-overflow|WRITE|interp|interp.c,42507890,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:016,ghostpdl,catalog_associated,heap-buffer-overflow|WRITE|pdfi_repair_file|pdf_repair.c,42505894,1,gstoraster_fuzzer,0,A,CWE-787,True,True,True,True,pending,False
ghostpdl:expected:017,ghostpdl,catalog_associated,heap-use-after-free|READ|chunk_free_object|gsmchunk.c,42505893,1,gstoraster_fuzzer,0,B,CWE-416,True,True,True,True,pending,False
ghostpdl:expected:018,ghostpdl,catalog_associated,heap-use-after-free|READ|gc_trace|igc.c,42510720,1,gstoraster_fuzzer,0,B,CWE-416,True,True,True,True,pending,False
