project,source_commit,interface_method,recorded_expected_unique,reconstructed_expected_association_keys,association_count_matches_summary,recorded_extra_report_groups,verified_memory_bug_count,recorded_dmax_association_keys,recorded_dunion_association_keys,expected_observations,expected_with_original_poc,expected_with_aggregated_poc,expected_with_original_log,expected_with_aggregated_log,expected_with_route,image_archive_exists,aggregated_image_exists,final_binary_sha256_recorded,admission_recorded
ghostpdl,991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50,identity_single_source,34,34,True,1,,34,34,34,34,34,34,34,34,True,True,True,admitted
gpac,b890f1c443dbe1f941cd326d4473ce7ddef8e256,prefix_mod_3,27,27,True,0,,25,27,29,29,29,29,29,29,True,True,True,admitted
assimp,d34cd103f477fba496f09e3daf49d3ce671eb21a,identity_single_source,26,26,True,0,,26,26,26,26,26,26,26,26,True,True,True,admitted
PcapPlusPlus,65974d73c33aaede1bf3c18a353ea2209d1912a0,prefix_mod_4,18,18,True,0,,8,18,18,18,18,0,18,18,True,True,True,admitted
ndpi,65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320,identity_on_densest,15,15,True,0,,15,15,15,0,15,15,15,15,True,True,True,admitted
opensc,2c9dddc7386dbb57844cf17688859e735a783fd8,prefix_mod_3,15,15,True,0,,11,15,15,15,15,15,15,15,True,True,True,admitted
libdwarf,2ee326bad2b4286ca19a2d007d2bb0e77adcdcff,prefix_mod_10,14,14,True,0,,3,14,14,14,14,14,14,14,True,True,True,admitted
openh264,83a0eae9bbbda5bfe802438109a025a3d7caee10,identity_single_source,12,12,True,2,,12,12,12,12,12,12,12,12,True,True,True,admitted
selinux,38a09b74024bbe1c78639821f3cff3a5ceb73d0d,identity_single_source,13,13,True,0,,13,13,13,13,13,13,13,13,True,True,True,admitted
upx,09c5e383223e6f70222b8b04fffdb79919f9c40a,prefix_mod_3,13,13,True,0,,9,13,14,14,14,14,14,14,True,True,True,admitted
fluent-bit,e5289e606c4b55b0fac29046c8343958248189e7,prefix_mod_6,12,12,True,0,,4,12,12,12,12,12,12,12,True,True,True,admitted
hdf5,bd7616cf98ae52e77f710a16fb4d334be3cb5ce9,prefix_mod_2,12,12,True,0,,10,12,12,12,12,12,0,12,True,True,True,admitted
openvswitch,f5129153e3b12c0b9ca6b355f9062d91a67d2942,prefix_mod_6,12,12,True,0,,3,12,12,12,12,12,12,12,True,True,True,admitted
pcl,09e914b0b3b13c07710e814d71df3ff958945ba3,identity_single_source,12,12,True,0,,12,12,12,12,12,0,12,12,True,True,True,admitted
libavc,764ab7b702142762bfa9c4e93427c6e494ff7940,identity_single_source,10,10,True,1,,10,10,10,10,10,10,10,10,True,True,True,admitted
sleuthkit,5eabe4d554f09bf31f8a375735c096b1df4de0e8,prefix_mod_6,11,11,True,0,,5,11,11,11,11,11,11,11,True,True,True,admitted
espeak-ng,ccb1c31ba3cfa785d27c5974f3be65df2967e7a0,identity_single_source,10,10,True,0,,10,10,10,10,10,10,10,10,True,True,True,admitted
libxml2,4b3452d17123631ec43d532b83dc182c1a638fed,prefix_mod_3,9,7,False,0,,3,7,9,9,9,9,9,9,True,True,True,admitted
libraw,371161a06d7f98f231a001dad4af2dfb463e270a,identity_single_source,8,8,True,0,,4,8,8,8,8,8,8,8,True,True,True,admitted
librawspeed,a17791452ef33b56e59ff9f7047775cf523b63f2,prefix_mod_6,8,8,True,0,,2,8,8,8,8,8,8,8,True,True,True,admitted
