project,source_commit,catalog_base_date,catalog_base_method,catalog_candidate_score,benchmark_seat,catalog_admission,recorded_expected_unique,recorded_known_real_unique,recorded_total,observation_rows,recorded_expected_observations,recorded_expected_asan_observations,recorded_expected_crash_observations,recorded_expected_total_observations,summary_expected_signature_count,aggregation_method,aggregation_route_count,aggregation_expected_checked,aggregation_expected_matched,metadata_path
ghostpdl,991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50,2021-12-14,wave_eve,74,in_set,admitted,34,1,35,90,34,34,0,34,34,identity_single_source,1,34,34,data/measure/manual/ghostpdl/991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50.json
gpac,b890f1c443dbe1f941cd326d4473ce7ddef8e256,2024-01-17,wave_eve,42,in_set,admitted,27,0,27,49,29,29,0,29,29,prefix_mod_3,3,29,29,data/measure/manual/gpac/b890f1c443dbe1f941cd326d4473ce7ddef8e256.json
assimp,d34cd103f477fba496f09e3daf49d3ce671eb21a,2021-09-09,measured_sweep,25,in_set,admitted,26,0,26,40,26,26,0,26,26,identity_single_source,1,26,26,data/measure/manual/assimp/d34cd103f477fba496f09e3daf49d3ce671eb21a.json
PcapPlusPlus,65974d73c33aaede1bf3c18a353ea2209d1912a0,2023-08-02,measured_sweep,8,in_set,admitted,18,0,18,20,18,18,0,18,18,prefix_mod_4,4,18,18,data/measure/manual/PcapPlusPlus/65974d73c33aaede1bf3c18a353ea2209d1912a0.json
ndpi,65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320,2019-12-09,wave_eve,31,in_set,admitted,15,0,15,37,15,15,0,15,20,identity_on_densest,1,20,15,data/measure/manual/ndpi/65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320.json
opensc,2c9dddc7386dbb57844cf17688859e735a783fd8,2022-04-14,wave_eve,34,in_set,admitted,15,0,15,76,15,15,0,15,15,prefix_mod_3,3,15,15,data/measure/manual/opensc/2c9dddc7386dbb57844cf17688859e735a783fd8.json
libdwarf,2ee326bad2b4286ca19a2d007d2bb0e77adcdcff,2023-03-20,wave_eve,21,in_set,admitted,14,0,14,25,14,14,0,14,14,prefix_mod_10,10,14,14,data/measure/manual/libdwarf/2ee326bad2b4286ca19a2d007d2bb0e77adcdcff.json
openh264,83a0eae9bbbda5bfe802438109a025a3d7caee10,2020-09-29,measured_sweep,12,in_set,admitted,12,2,14,24,12,12,0,12,12,identity_single_source,1,12,12,data/measure/manual/openh264/83a0eae9bbbda5bfe802438109a025a3d7caee10.json
selinux,38a09b74024bbe1c78639821f3cff3a5ceb73d0d,2021-01-04,measured_sweep,14,in_set,admitted,13,0,13,20,13,13,0,13,13,identity_single_source,1,13,13,data/measure/manual/selinux/38a09b74024bbe1c78639821f3cff3a5ceb73d0d.json
upx,09c5e383223e6f70222b8b04fffdb79919f9c40a,2024-01-09,measured_sweep,9,in_set,admitted,13,0,13,16,13,13,1,14,14,prefix_mod_3,3,14,14,data/measure/manual/upx/09c5e383223e6f70222b8b04fffdb79919f9c40a.json
fluent-bit,e5289e606c4b55b0fac29046c8343958248189e7,2020-11-05,wave_eve,23,in_set,admitted,12,0,12,34,12,12,0,12,12,prefix_mod_6,6,12,12,data/measure/manual/fluent-bit/e5289e606c4b55b0fac29046c8343958248189e7.json
hdf5,bd7616cf98ae52e77f710a16fb4d334be3cb5ce9,2023-04-26,measured_sweep,12,in_set,admitted,12,0,12,14,12,12,0,12,12,prefix_mod_2,2,12,12,data/measure/manual/hdf5/bd7616cf98ae52e77f710a16fb4d334be3cb5ce9.json
openvswitch,f5129153e3b12c0b9ca6b355f9062d91a67d2942,2018-07-10,wave_eve,12,in_set,admitted,12,0,12,13,12,12,0,12,12,prefix_mod_6,6,12,12,data/measure/manual/openvswitch/f5129153e3b12c0b9ca6b355f9062d91a67d2942.json
pcl,09e914b0b3b13c07710e814d71df3ff958945ba3,2022-08-25,measured_sweep,12,in_set,admitted,12,0,12,13,12,12,0,12,12,identity_single_source,1,12,12,data/measure/manual/pcl/09e914b0b3b13c07710e814d71df3ff958945ba3.json
libavc,764ab7b702142762bfa9c4e93427c6e494ff7940,2023-02-15,measured_sweep,10,in_set,admitted,10,1,11,30,10,10,0,10,10,identity_single_source,1,10,10,data/measure/manual/libavc/764ab7b702142762bfa9c4e93427c6e494ff7940.json
sleuthkit,5eabe4d554f09bf31f8a375735c096b1df4de0e8,2021-04-26,wave_eve,14,in_set,admitted,11,0,11,17,11,11,0,11,11,prefix_mod_6,6,11,11,data/measure/manual/sleuthkit/5eabe4d554f09bf31f8a375735c096b1df4de0e8.json
espeak-ng,ccb1c31ba3cfa785d27c5974f3be65df2967e7a0,2021-11-07,measured_sweep,11,in_set,admitted,10,0,10,12,10,10,0,10,11,identity_single_source,1,11,10,data/measure/manual/espeak-ng/ccb1c31ba3cfa785d27c5974f3be65df2967e7a0.json
libxml2,4b3452d17123631ec43d532b83dc182c1a638fed,2023-03-15,wave_eve,30,in_set,admitted,9,0,9,54,9,9,0,9,9,prefix_mod_3,3,9,9,data/measure/manual/libxml2/4b3452d17123631ec43d532b83dc182c1a638fed.json
libraw,371161a06d7f98f231a001dad4af2dfb463e270a,2021-07-27,wave_eve,9,in_set,admitted,8,0,8,16,7,7,1,8,8,identity_single_source,1,8,8,data/measure/manual/libraw/371161a06d7f98f231a001dad4af2dfb463e270a.json
arrow,8b09ecc5c690dd270dea83490f292c2e00eef75b,2020-01-16,wave_eve,23,in_set,admitted,7,1,8,27,6,6,1,7,7,prefix_mod_3,3,7,7,data/measure/manual/arrow/8b09ecc5c690dd270dea83490f292c2e00eef75b.json
