project,adopted_commit,selection_source,candidate_score_recorded,heuristic_candidate_before_override,search_scope_and_stop_rule,source
ghostpdl,991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50,wave_eve,74,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/ghostpdl/991a95ff4c4ffd6114f0ae5b9ecb7887ba775d50.json
gpac,b890f1c443dbe1f941cd326d4473ce7ddef8e256,wave_eve,42,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/gpac/b890f1c443dbe1f941cd326d4473ce7ddef8e256.json
assimp,d34cd103f477fba496f09e3daf49d3ce671eb21a,measured_sweep,25,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/assimp/d34cd103f477fba496f09e3daf49d3ce671eb21a.json
PcapPlusPlus,65974d73c33aaede1bf3c18a353ea2209d1912a0,measured_sweep,8,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/PcapPlusPlus/65974d73c33aaede1bf3c18a353ea2209d1912a0.json
ndpi,65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320,wave_eve,31,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/ndpi/65d526d8f6ae75f8d1a3f5c8dd19bf40ec03f320.json
opensc,2c9dddc7386dbb57844cf17688859e735a783fd8,wave_eve,34,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/opensc/2c9dddc7386dbb57844cf17688859e735a783fd8.json
libdwarf,2ee326bad2b4286ca19a2d007d2bb0e77adcdcff,wave_eve,21,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/libdwarf/2ee326bad2b4286ca19a2d007d2bb0e77adcdcff.json
openh264,83a0eae9bbbda5bfe802438109a025a3d7caee10,measured_sweep,12,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/openh264/83a0eae9bbbda5bfe802438109a025a3d7caee10.json
selinux,38a09b74024bbe1c78639821f3cff3a5ceb73d0d,measured_sweep,14,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/selinux/38a09b74024bbe1c78639821f3cff3a5ceb73d0d.json
upx,09c5e383223e6f70222b8b04fffdb79919f9c40a,measured_sweep,9,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/upx/09c5e383223e6f70222b8b04fffdb79919f9c40a.json
fluent-bit,e5289e606c4b55b0fac29046c8343958248189e7,wave_eve,23,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/fluent-bit/e5289e606c4b55b0fac29046c8343958248189e7.json
hdf5,bd7616cf98ae52e77f710a16fb4d334be3cb5ce9,measured_sweep,12,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/hdf5/bd7616cf98ae52e77f710a16fb4d334be3cb5ce9.json
openvswitch,f5129153e3b12c0b9ca6b355f9062d91a67d2942,wave_eve,12,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/openvswitch/f5129153e3b12c0b9ca6b355f9062d91a67d2942.json
pcl,09e914b0b3b13c07710e814d71df3ff958945ba3,measured_sweep,12,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/pcl/09e914b0b3b13c07710e814d71df3ff958945ba3.json
libavc,764ab7b702142762bfa9c4e93427c6e494ff7940,measured_sweep,10,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/libavc/764ab7b702142762bfa9c4e93427c6e494ff7940.json
sleuthkit,5eabe4d554f09bf31f8a375735c096b1df4de0e8,wave_eve,14,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/sleuthkit/5eabe4d554f09bf31f8a375735c096b1df4de0e8.json
espeak-ng,ccb1c31ba3cfa785d27c5974f3be65df2967e7a0,measured_sweep,11,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/espeak-ng/ccb1c31ba3cfa785d27c5974f3be65df2967e7a0.json
libxml2,4b3452d17123631ec43d532b83dc182c1a638fed,wave_eve,30,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/libxml2/4b3452d17123631ec43d532b83dc182c1a638fed.json
libraw,371161a06d7f98f231a001dad4af2dfb463e270a,wave_eve,9,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/libraw/371161a06d7f98f231a001dad4af2dfb463e270a.json
arrow,8b09ecc5c690dd270dea83490f292c2e00eef75b,wave_eve,23,not_exported_in_current_index,not_recorded_in_current_index,data/measure/manual/arrow/8b09ecc5c690dd270dea83490f292c2e00eef75b.json
