project,fingerprint_key,kind,access,origin
arrow,global-buffer-overflow|READ|validate.cc|358|fa6df5d2b949ebc4,global-buffer-overflow,READ,expected
arrow,global-buffer-overflow|WRITE|decode.c|1274|c67a45475f268ca3,global-buffer-overflow,WRITE,expected
arrow,heap-buffer-overflow|READ|array.h|589|a3c08a9c453df679,heap-buffer-overflow,READ,expected
arrow,heap-buffer-overflow|READ|bit_util.cc|95|57851131d8dea4f2,heap-buffer-overflow,READ,expected
arrow,heap-buffer-overflow|READ|bit_util.h|428|ff2bc9413c121ca5,heap-buffer-overflow,READ,expected
arrow,heap-buffer-overflow|READ|validate.cc|380|4a77a3493904fdd1,heap-buffer-overflow,READ,expected
arrow,heap-buffer-overflow|WRITE|type.cc|341|3a7baaf32bd33543,heap-buffer-overflow,WRITE,expected
arrow,negative-size-param|-|bit_stream_utils.h|110|294335079f0fc0c4,negative-size-param,-,extra
assimp,heap-buffer-overflow|READ|HMPLoader.cpp|456|fd46e9fda6dcfcf5,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|IOStreamBuffer.h|305|2fac6be40d4d0a0e,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|LWOAnimation.cpp|210|31abc766f87ab379,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|MD3Loader.cpp|1044|b047314a68c852a1,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|MD5Parser.cpp|148|e60126e7c0b39fc0,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|MD5Parser.h|436|5fcac9b624966136,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|MDLLoader.cpp|226|182cbc9ea7ea9ad1,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|MDLMaterialLoader.cpp|233|4efd1e1fa554dce6,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|MDLMaterialLoader.cpp|713|fbd674aebeee8c32,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|ObjFileParser.cpp|428|eafb083967afa3be,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|OpenDDLParser.cpp|492|616c2e4ccd73ceb2,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|OpenDDLParser.cpp|551|192e0943519d3535,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|ParsingUtils.h|144|1bcaa9a31ee8ee57,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|RemoveComments.cpp|72|4217d10f97f578f9,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|ScenePreprocessor.cpp|146|57a85800e5acda3e,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|TinyFormatter.h|130|617ff26184b7c7c0,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|READ|texture.h|104|02d9ed9c6a37e400,heap-buffer-overflow,READ,expected
assimp,heap-buffer-overflow|WRITE|HMPLoader.cpp|386|ef6e2b5e594ee036,heap-buffer-overflow,WRITE,expected
assimp,heap-buffer-overflow|WRITE|IOStreamBuffer.h|282|a7d39632073bbbf5,heap-buffer-overflow,WRITE,expected
assimp,heap-buffer-overflow|WRITE|PlyLoader.cpp|462|d212c8d786e79d7b,heap-buffer-overflow,WRITE,expected
assimp,heap-buffer-overflow|WRITE|m3d.h|912|4b50cff63aa22168,heap-buffer-overflow,WRITE,expected
assimp,heap-use-after-free|READ|shared_ptr_base.h|929|30425941362d9e0a,heap-use-after-free,READ,expected
assimp,memcpy-param-overlap|-|unzip.c|1347|2d140a8c6cb17863,memcpy-param-overlap,-,expected
assimp,stack-buffer-overflow|READ|FileSystemFilter.h|305|bee915871e84c89a,stack-buffer-overflow,READ,expected
assimp,stack-buffer-overflow|READ|MaterialSystem.cpp|485|942b3db7af55813e,stack-buffer-overflow,READ,expected
assimp,stack-buffer-overflow|READ|ZipArchiveIOSystem.cpp|377|0ab2e13c24c67d6f,stack-buffer-overflow,READ,expected
espeak-ng,global-buffer-overflow|READ|dictionary.c|714|9a15a6a466d8485c,global-buffer-overflow,READ,expected
espeak-ng,global-buffer-overflow|READ|phonemelist.c|75|b9e8f863435188a1,global-buffer-overflow,READ,expected
espeak-ng,global-buffer-overflow|READ|setlengths.c|427|8ee3aaf37d8ef0c3,global-buffer-overflow,READ,expected
espeak-ng,heap-use-after-free|READ|dictionary.c|2244|e49f95661a46fd39,heap-use-after-free,READ,expected
espeak-ng,heap-use-after-free|READ|dictionary.c|2592|b241675a17a88038,heap-use-after-free,READ,expected
espeak-ng,heap-use-after-free|READ|numbers.c|839|a0e42f5c6e41640d,heap-use-after-free,READ,expected
espeak-ng,stack-buffer-overflow|READ|dictionary.c|714|9a15a6a466d8485c,stack-buffer-overflow,READ,expected
espeak-ng,stack-buffer-overflow|READ|numbers.c|1785|1bb68fe0b2b212c8,stack-buffer-overflow,READ,expected
espeak-ng,stack-buffer-overflow|READ|translate.c|2582|9a4578f6ee2935f6,stack-buffer-overflow,READ,expected
espeak-ng,stack-buffer-underflow|READ|synthdata.c|473|43c58f66d964295a,stack-buffer-underflow,READ,expected
fluent-bit,double-free|-|flb_mem.h|122|0f7f4c67317f93a0,double-free,-,expected
fluent-bit,heap-buffer-overflow|READ|flb_hash.c|375|6f6b24bac70d256e,heap-buffer-overflow,READ,expected
fluent-bit,heap-buffer-overflow|READ|flb_log.c|406|660795f88f34f12b,heap-buffer-overflow,READ,expected
fluent-bit,heap-buffer-overflow|READ|flb_parser_json.c|164|533394cc2fdf2030,heap-buffer-overflow,READ,expected
fluent-bit,heap-buffer-overflow|READ|flb_sds.c|291|ce5ee0f1cfc0fc27,heap-buffer-overflow,READ,expected
fluent-bit,heap-buffer-overflow|READ|flb_strptime.c|442|560bac93eb905405,heap-buffer-overflow,READ,expected
fluent-bit,heap-buffer-overflow|READ|flb_strptime.c|674|c718cace095677cf,heap-buffer-overflow,READ,expected
fluent-bit,heap-buffer-overflow|READ|flb_utils.c|477|6761821924511327,heap-buffer-overflow,READ,expected
fluent-bit,heap-buffer-overflow|WRITE|flb_pack.c|656|c544f6ab58470584,heap-buffer-overflow,WRITE,expected
fluent-bit,heap-buffer-overflow|WRITE|flb_utils.c|577|18687981c9f65ddb,heap-buffer-overflow,WRITE,expected
fluent-bit,heap-use-after-free|READ|flb_parser_decoder.c|743|0bd695c7422731cf,heap-use-after-free,READ,expected
fluent-bit,stack-buffer-overflow|READ|flb_sds.c|132|4c9b8aa41ad4c1e2,stack-buffer-overflow,READ,expected
ghostpdl,global-buffer-overflow|READ|pdf_dict.c|246|5bd920d390d24f59,global-buffer-overflow,READ,expected
ghostpdl,global-buffer-overflow|READ|pdf_fontps.c|695|15fa1f72c27c061b,global-buffer-overflow,READ,expected
ghostpdl,global-buffer-overflow|READ|pdf_int.c|1191|dd6aad8aff2a4b38,global-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|gdevm1.c|683|7cc19e34607ba168,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|gsmchunk.c|857|cc26eeecd6c76f21,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|pdf_deref.c|560|62862fb368d18db8,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|pdf_fapi.c|212|23f8cc281bf88565,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|pdf_font1C.c|811|c896b779ef135248,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|pdf_fontps.c|181|b3b28b93d0768088,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|pdf_xref.c|108|d8a282838ae877f9,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|pdf_xref.c|762|88190b485ec952a3,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|sfilter1.c|105|f1820f57f0175656,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|READ|stream.c|1012|9255112833862886,heap-buffer-overflow,READ,expected
ghostpdl,heap-buffer-overflow|WRITE|gsmchunk.c|654|35d818aa274adbd1,heap-buffer-overflow,WRITE,expected
ghostpdl,heap-buffer-overflow|WRITE|interp.c|1518|3dce55410b65a64c,heap-buffer-overflow,WRITE,expected
ghostpdl,heap-buffer-overflow|WRITE|pdf_repair.c|439|40c63633fe719a49,heap-buffer-overflow,WRITE,expected
ghostpdl,heap-use-after-free|READ|gsmchunk.c|1092|138465958b671d3a,heap-use-after-free,READ,expected
ghostpdl,heap-use-after-free|READ|igc.c|915|627b4c4782dcf255,heap-use-after-free,READ,expected
ghostpdl,heap-use-after-free|READ|stream.c|415|f0f5c80e14c57818,heap-use-after-free,READ,expected
ghostpdl,memcpy-param-overlap|-|ghostpdf.c|1303|92dc331bccd76285,memcpy-param-overlap,-,expected
ghostpdl,memcpy-param-overlap|-|gxfapi.c|297|b88e25369f8f800c,memcpy-param-overlap,-,expected
ghostpdl,negative-size-param|-|pdf_cmap.c|205|df8374de2c178463,negative-size-param,-,expected
ghostpdl,null-deref|READ|gsalloc.c|1507|91f10ee3d0b1f99f,null-deref,READ,extra
ghostpdl,stack-buffer-overflow|READ|pdf_sec.c|129|81d1116a67aec3ba,stack-buffer-overflow,READ,expected
ghostpdl,stack-buffer-overflow|WRITE|gsfunc3.c|121|45de77fd2cbf7b6c,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-overflow|WRITE|pdf_annot.c|1449|bbb628e2c7919118,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-overflow|WRITE|pdf_annot.c|3882|31cbf34f61054fd0,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-overflow|WRITE|pdf_cmap.c|642|01d9de81cc1a523b,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-overflow|WRITE|pdf_colour.c|1116|54aa63e61ddcce75,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-overflow|WRITE|pdf_font.c|332|d28d9a1d203982aa,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-overflow|WRITE|pdf_font1C.c|730|7984641303be64dd,stack-buffer-overflow,WRITE,expected
ghostpdl,stack-buffer-overflow|WRITE|pdf_font1C.c|765|0831f54e461bccce,stack-buffer-overflow,WRITE,expected
